pollster_raw,pollster,start_date,end_date,n_size,univ,rep,dem,cycle
Politico/GWU/Battleground,politico_gwu_battleground,10/17/10,10/20/10,1000,LV,47,42,2010
Newsweek,newsweek,10/20/10,10/21/10,773,LV,45,48,2010
Gallup (LV Higher Turnout)*,gallup_ht,10/14/10,10/24/10,1989,LV,52,43,2010
Gallup (LV Lower Turnout)*,gallup_lt,10/14/10,10/24/10,1989,LV,55,41,2010
Rasmussen Reports,rasmussen,10/18/10,10/24/10,3500,LV,51,39,2010
McClatchy/Marist,mcclatchy_marist,10/22/10,10/25/10,350,LV,49,43,2010
Bloomberg,bloomberg,10/24/10,10/26/10,1000,LV,47,44,2010
ABC News/Wash Post,abc_wapo,10/25/10,10/28/10,786,LV,49,45,2010
FOX News,fox_news,10/26/10,10/28/10,764,LV,50,37,2010
CNN/Opinion Research,cnn_orc,10/27/10,10/30/10,542,LV,52,42,2010
Pew Research,pew,10/27/10,10/30/10,1809,LV,48,42,2010
Gallup,gallup,10/28/10,10/31/10,1539,LV,55,40,2010
Rasmussen Reports,rasmussen,10/25/10,10/31/10,3500,LV,51,39,2010
Reuters/Ipsos,reuters_ipsos,10/28/10,10/31/10,654,LV,50,44,2010
Rasmussen Reports,rasmussen,1/2/12,1/8/12,4000,LV,38,44,2012
Reuters/Ipsos,reuters_ipsos,1/5/12,1/9/12,896,RV,48,44,2012
Democracy Corps (D),dem_corps,1/8/12,1/11/12,1000,LV,47,44,2012
Rasmussen Reports,rasmussen,1/9/12,1/15/12,3500,LV,38,44,2012
Rasmussen Reports,rasmussen,1/16/12,1/22/12,3500,LV,39,42,2012
Rasmussen Reports,rasmussen,1/23/12,1/29/12,3500,LV,41,40,2012
Rasmussen Reports,rasmussen,1/30/12,2/5/12,3500,LV,41,43,2012
Reuters/Ipsos,reuters_ipsos,2/2/12,2/6/12,881,RV,46,44,2012
Rasmussen Reports,rasmussen,2/6/12,2/12/12,3500,LV,41,43,2012
Democracy Corps (D),dem_corps,2/11/12,2/14/12,1000,LV,47,45,2012
Rasmussen Reports,rasmussen,2/13/12,2/19/12,3500,LV,41,42,2012
USA Today/Gallup,usa_today_gallup,2/16/12,2/19/12,898,RV,47,47,2012
Quinnipiac,quinnipiac,2/14/12,2/20/12,2605,RV,38,40,2012
Politico/GWU/Battleground,politico_gwu_battleground,2/19/12,2/22/12,1000,LV,46,45,2012
Rasmussen Reports,rasmussen,2/20/12,2/26/12,3500,LV,39,43,2012
Rasmussen Reports,rasmussen,2/27/12,3/4/12,3500,LV,41,44,2012
Bloomberg,bloomberg,3/8/12,3/11/12,746,LV,44,46,2012
Rasmussen Reports,rasmussen,3/5/12,3/11/12,3500,LV,38,44,2012
Reuters/Ipsos,reuters_ipsos,3/8/12,3/11/12,937,RV,47,43,2012
Rasmussen Reports,rasmussen,3/12/12,3/18/12,3500,LV,40,44,2012
McClatchy/Marist,mcclatchy_marist,3/20/12,3/22/12,846,RV,43,47,2012
Rasmussen Reports,rasmussen,3/19/12,3/25/12,3500,LV,38,43,2012
Rasmussen Reports,rasmussen,3/26/12,4/1/12,3500,LV,39,45,2012
Rasmussen Reports,rasmussen,4/2/12,4/8/12,3500,LV,40,45,2012
Rasmussen Reports,rasmussen,4/9/12,4/15/12,3500,LV,36,46,2012
Reuters/Ipsos,reuters_ipsos,4/12/12,4/15/12,891,RV,42,41,2012
Quinnipiac,quinnipiac,4/11/12,4/17/12,2577,RV,40,39,2012
Rasmussen Reports,rasmussen,4/16/12,4/22/12,3500,LV,40,43,2012
Rasmussen Reports,rasmussen,4/23/12,4/29/12,3500,LV,40,43,2012
Democracy Corps (D),dem_corps,4/28/12,5/1/12,1000,LV,46,45,2012
Politico/GWU/Battleground,politico_gwu_battleground,4/29/12,5/3/12,1000,LV,43,45,2012
Resurgent Republic (R),resurgen_republic,4/30/12,5/3/12,1000,RV,45,40,2012
Rasmussen Reports,rasmussen,4/30/12,5/6/12,3500,LV,41,44,2012
Reuters/Ipsos,reuters_ipsos,5/3/12,5/7/12,959,RV,46,44,2012
Rasmussen Reports,rasmussen,5/7/12,5/12/12,3500,LV,38,45,2012
USA Today/Gallup,usa_today_gallup,5/10/12,5/13/12,1012,Adults,44,50,2012
Rasmussen Reports,rasmussen,5/14/12,5/20/12,3500,LV,39,43,2012
Rasmussen Reports,rasmussen,5/21/12,5/27/12,3500,LV,39,42,2012
CNN/Opinion Research,cnn_orc,5/29/12,5/31/12,895,RV,48,45,2012
Rasmussen Reports,rasmussen,5/28/12,6/3/12,3500,LV,37,44,2012
Rasmussen Reports,rasmussen,6/4/12,6/10/12,3500,LV,39,45,2012
Reuters/Ipsos,reuters_ipsos,6/7/12,6/11/12,848,RV,47,44,2012
Pew Research,pew,6/7/12,6/17/12,1563,RV,47,43,2012
Rasmussen Reports,rasmussen,6/11/12,6/17/12,3500,LV,38,45,2012
Bloomberg,bloomberg,6/15/12,6/18/12,734,LV,48,41,2012
Rasmussen Reports,rasmussen,6/18/12,6/24/12,3500,LV,39,44,2012
Democracy Corps (D),dem_corps,6/23/12,6/27/12,1000,LV,45,46,2012
Newsweek/Daily Beast,newsweek,6/28/12,6/28/12,600,LV,36,38,2012
Rasmussen Reports,rasmussen,6/25/12,7/1/12,3500,LV,40,41,2012
Quinnipiac,quinnipiac,7/1/12,7/8/12,2722,RV,43,40,2012
Rasmussen Reports,rasmussen,7/2/12,7/8/12,3500,LV,40,43,2012
Reuters/Ipsos,reuters_ipsos,7/5/12,7/9/12,885,RV,44,48,2012
Rasmussen Reports,rasmussen,7/9/12,7/15/12,3500,LV,40,43,2012
Rasmussen Reports,rasmussen,7/16/12,7/22/12,3500,LV,40,43,2012
Democracy Corps (D),dem_corps,7/21/12,7/25/12,700,LV,46,46,2012
Rasmussen Reports,rasmussen,7/23/12,7/29/12,3500,LV,40,43,2012
Rasmussen Reports,rasmussen,7/29/12,8/5/12,3500,LV,39,42,2012
Reuters/Ipsos,reuters_ipsos,8/2/12,8/6/12,1014,RV,46,46,2012
Politico/GWU/Battleground,politico_gwu_battleground,8/5/12,8/9/12,1000,LV,43,45,2012
Rasmussen Reports,rasmussen,8/6/12,8/12/12,3500,LV,39,42,2012
Rasmussen Reports,rasmussen,8/13/12,8/19/12,3500,LV,41,42,2012
Resurgent Republic (R),resurgen_republic,8/16/12,8/22/12,1000,LV,44,40,2012
USA Today/Gallup,usa_today_gallup,8/20/12,8/22/12,955,RV,47,47,2012
Rasmussen Reports,rasmussen,8/20/12,8/26/12,3500,LV,42,42,2012
Democracy Corps (D),dem_corps,8/23/12,8/27/12,1000,LV,46,47,2012
Rasmussen Reports,rasmussen,8/27/12,9/2/12,3500,LV,42,43,2012
Rasmussen Reports,rasmussen,9/3/12,9/9/12,3500,LV,44,42,2012
Reuters/Ipsos,reuters_ipsos,9/7/12,9/10/12,942,RV,49,43,2012
Democracy Corps (D),dem_corps,9/8/12,9/12/12,1000,LV,46,46,2012
Rasmussen Reports,rasmussen,9/10/12,9/16/12,3500,LV,43,44,2012
Politico/GWU/Battleground,politico_gwu_battleground,9/16/12,9/20/12,1000,LV,47,45,2012
Rasmussen Reports,rasmussen,9/17/12,9/23/12,3500,LV,43,44,2012
Bloomberg,bloomberg,9/21/12,9/24/12,789,LV,43,45,2012
Politico/GWU/Battleground,politico_gwu_battleground,9/24/12,9/27/12,1000,LV,46,44,2012
USA Today/Gallup,usa_today_gallup,9/24/12,9/27/12,1301,RV,47,46,2012
NPR,npr,9/26/12,9/30/12,800,LV,48,45,2012
Rasmussen Reports,rasmussen,9/24/12,9/30/12,3500,LV,41,45,2012
Politico/GWU/Battleground,politico_gwu_battleground,10/1/12,10/4/12,1000,LV,46,45,2012
Rasmussen Reports,rasmussen,10/1/12,10/7/12,3500,LV,44,43,2012
Politico/GWU/Battleground,politico_gwu_battleground,10/7/12,10/11/12,1000,LV,46,44,2012
Rasmussen Reports,rasmussen,10/8/12,10/14/12,3500,LV,43,42,2012
Politico/GWU/Battleground,politico_gwu_battleground,10/15/12,10/18/12,1000,LV,46,46,2012
Rasmussen Reports,rasmussen,10/15/12,10/21/12,3500,LV,43,44,2012
NPR,npr,10/23/12,10/25/12,1000,LV,43,43,2012
Politico/GWU/Battleground,politico_gwu_battleground,10/22/12,10/25/12,1000,LV,45,46,2012
CBS News/NY Times,cbs_nyt,10/25/12,10/28/12,563,LV,48,46,2012
Rasmussen Reports,rasmussen,10/22/12,10/28/12,3500,LV,43,46,2012
Politico/GWU/Battleground,politico_gwu_battleground,10/29/12,11/1/12,1000,LV,46,46,2012
CNN/Opinion Research,cnn_orc,11/2/12,11/4/12,693,LV,48,49,2012
Gallup,gallup,11/1/12,11/4/12,2551,LV,49,48,2012
Rasmussen Reports,rasmussen,10/29/12,11/4/12,3500,LV,46,46,2012
Politico/GWU/Battleground,politico_gwu_battleground,11/4/12,11/5/12,1000,LV,46,47,2012
Quinnipiac,quinnipiac,1/4/14,1/7/14,1487,RV,38,37,2014
Rasmussen Reports,rasmussen,1/6/14,1/12/14,3500,LV,37,41,2014
GWU/Battleground,gwu_battleground,1/12/14,1/16/14,1000,LV,43,41,2014
Quinnipiac,quinnipiac,1/15/14,1/19/14,1933,RV,38,37,2014
Rasmussen Reports,rasmussen,1/13/14,1/19/14,3500,LV,35,41,2014
FOX News,fox_news,1/19/14,1/21/14,1010,RV,43,41,2014
PPP (D),ppp,1/23/14,1/26/14,845,RV,42,40,2014
Rasmussen Reports,rasmussen,1/20/14,1/26/14,3500,LV,37,42,2014
Rasmussen Reports,rasmussen,1/27/14,2/2/14,3500,LV,40,39,2014
McClatchy/Marist,mcclatchy_marist,2/4/14,2/9/14,970,RV,44,46,2014
Rasmussen Reports,rasmussen,2/3/14,2/9/14,3500,LV,38,40,2014
Rasmussen Reports,rasmussen,2/10/14,2/16/14,3500,LV,37,41,2014
Rasmussen Reports,rasmussen,2/17/14,2/23/14,3500,LV,37,41,2014
Rasmussen Reports,rasmussen,2/24/14,3/2/14,3500,LV,36,39,2014
FOX News,fox_news,3/2/14,3/4/14,1002,RV,38,40,2014
PPP (D),ppp,3/6/14,3/9/14,1152,RV,40,43,2014
Rasmussen Reports,rasmussen,3/3/14,3/9/14,3500,LV,39,39,2014
Rasmussen Reports,rasmussen,3/10/14,3/16/14,3500,LV,39,38,2014
GWU/Battleground,gwu_battleground,3/16/14,3/20/14,1000,LV,43,43,2014
NPR/GQR/Resurgent,npr,3/19/14,3/23/14,840,LV,43,44,2014
Rasmussen Reports,rasmussen,3/17/14,3/23/14,3500,LV,37,41,2014
Rasmussen Reports,rasmussen,3/24/14,3/30/14,3500,LV,38,39,2014
Reason-Rupe/PSRAI,reason,3/26/14,3/30/14,1003,Adults,36,40,2014
Quinnipiac,quinnipiac,3/26/14,3/31/14,1578,RV,38,40,2014
Rasmussen Reports,rasmussen,3/31/14,4/6/14,3500,LV,39,40,2014
McClatchy/Marist,mcclatchy_marist,4/7/14,4/10/14,1036,RV,42,48,2014
Rasmussen Reports,rasmussen,4/7/14,4/13/14,3500,LV,38,40,2014
FOX News,fox_news,4/13/14,4/15/14,1012,RV,44,41,2014
Rasmussen Reports,rasmussen,4/14/14,4/20/14,3500,LV,41,40,2014
ABC News/Wash Post,abc_wapo,4/24/14,4/27/14,855,RV,44,45,2014
Rasmussen Reports,rasmussen,4/21/14,4/27/14,3500,LV,40,38,2014
USA Today/Pew Research,usa_today_pew,4/23/14,4/27/14,1162,RV,47,43,2014
CNN/Opinion Research,cnn_orc,5/2/14,5/4/14,911,RV,46,45,2014
Rasmussen Reports,rasmussen,4/28/14,5/4/14,3500,LV,37,41,2014
Rasmussen Reports,rasmussen,5/5/14,5/11/14,3500,LV,38,40,2014
FOX News,fox_news,5/10/14,5/13/14,1025,RV,40,43,2014
Rasmussen Reports,rasmussen,5/12/14,5/18/14,3500,LV,37,41,2014
Rasmussen Reports,rasmussen,5/19/14,5/25/14,3500,LV,38,42,2014
Rasmussen Reports,rasmussen,5/26/14,6/1/14,3500,LV,38,41,2014
FOX News,fox_news,6/1/14,6/3/14,1006,RV,43,39,2014
Rasmussen Reports,rasmussen,6/2/14,6/8/14,3500,LV,37,41,2014
Bloomberg,bloomberg,6/6/14,6/9/14,763,LV,43,43,2014
Rasmussen Reports,rasmussen,6/9/14,6/15/14,3500,LV,37,39,2014
Rasmussen Reports,rasmussen,6/16/14,6/22/14,3500,LV,38,40,2014
FOX News,fox_news,6/21/14,6/23/14,1018,RV,42,42,2014
Rasmussen Reports,rasmussen,6/23/14,6/29/14,3500,LV,38,40,2014
Quinnipiac,quinnipiac,6/24/14,6/30/14,1446,RV,39,41,2014
Rasmussen Reports,rasmussen,6/30/14,7/6/14,3500,LV,38,41,2014
Rasmussen Reports,rasmussen,7/7/14,7/13/14,3500,LV,38,39,2014
Pew Research,pew,7/8/14,7/14/14,1420,RV,45,47,2014
CNN/Opinion Research,cnn_orc,7/18/14,7/20/14,899,RV,44,48,2014
Rasmussen Reports,rasmussen,7/14/14,7/20/14,3500,LV,39,39,2014
FOX News,fox_news,7/20/14,7/22/14,1057,RV,41,43,2014
Rasmussen Reports,rasmussen,7/21/14,7/27/14,3500,LV,39,41,2014
Rasmussen Reports,rasmussen,7/28/14,8/3/14,3500,LV,42,38,2014
McClatchy/Marist,mcclatchy_marist,8/4/14,8/7/14,806,RV,43,38,2014
Rasmussen Reports,rasmussen,8/4/14,8/10/14,3500,LV,40,39,2014
FOX News,fox_news,8/10/14,8/12/14,1001,RV,39,46,2014
Rasmussen Reports,rasmussen,8/11/14,8/17/14,3500,LV,39,39,2014
Rasmussen Reports,rasmussen,8/18/14,8/24/14,3500,LV,40,39,2014
USA Today/Pew Research,usa_today_pew,8/20/14,8/24/14,1171,RV,42,47,2014
GWU/Battleground,gwu_battleground,8/23/14,8/28/14,1000,LV,46,42,2014
Rasmussen Reports,rasmussen,8/25/14,8/31/14,3500,LV,41,40,2014
Rasmussen Reports,rasmussen,9/1/14,9/7/14,3500,LV,41,39,2014
FOX News,fox_news,9/7/14,9/9/14,833,LV,47,40,2014
Pew Research,pew,9/2/14,9/9/14,1150,LV,47,44,2014
Rasmussen Reports,rasmussen,9/8/14,9/14/14,3500,LV,38,41,2014
CBS News/NY Times,cbs_nyt,9/12/14,9/15/14,470,LV,49,42,2014
Rasmussen Reports,rasmussen,9/15/14,9/21/14,3500,LV,40,40,2014
CNN/Opinion Research,cnn_orc,9/25/14,9/28/14,701,LV,45,47,2014
Rasmussen Reports,rasmussen,9/22/14,9/28/14,3500,LV,39,40,2014
McClatchy/Marist,mcclatchy_marist,9/24/14,9/29/14,884,RV,44,45,2014
FOX News,fox_news,9/28/14,9/30/14,845,LV,47,40,2014
Gallup,gallup,9/25/14,9/30/14,1095,RV,47,46,2014
Rasmussen Reports,rasmussen,9/29/14,10/5/14,3500,LV,39,41,2014
CBS News,cbs_nyt,10/3/14,10/6/14,575,LV,49,43,2014
ABC News/Wash Post,abc_wapo,10/9/14,10/12/14,629,LV,50,43,2014
NBC News/Wall St. Jrnl,nbc_wsj,10/8/14,10/12/14,666,LV,48,47,2014
Rasmussen Reports,rasmussen,10/6/14,10/12/14,3500,LV,40,40,2014
FOX News,fox_news,10/12/14,10/14/14,831,LV,45,42,2014
Rasmussen Reports,rasmussen,10/13/14,10/19/14,3500,LV,41,41,2014
Associated Press/GfK,ap_gfk,10/16/14,10/20/14,968,LV,40,32,2014
Pew Research,pew,10/15/14,10/20/14,1126,LV,46,47,2014
ABC News/Wash Post,abc_wapo,10/23/14,10/26/14,758,LV,50,44,2014
CNN/Opinion Research,cnn_orc,10/24/14,10/26/14,540,LV,46,47,2014
Rasmussen Reports,rasmussen,10/20/14,10/26/14,3500,LV,43,41,2014
USA Today/PSRAI,usa_today_psrai,10/23/14,10/26/14,697,LV,42,43,2014
CBS News,cbs_nyt,10/23/14,10/27/14,624,LV,50,42,2014
FOX News,fox_news,10/25/14,10/27/14,734,LV,44,45,2014
NBC News/Wall St. Jrnl,nbc_wsj,10/30/14,11/1/14,826,LV,48,48,2014
Rasmussen Reports,rasmussen,10/27/14,11/2/14,3500,LV,44,41,2014
PPP (D),ppp,2/2/16,2/3/16,1236,RV,41,47,2016
PPP (D),ppp,3/24/16,3/26/16,1083,RV,43,43,2016
NBC News/Wall St. Jrnl,nbc_wsj,4/10/16,4/14/16,1000,RV,45,47,2016
GWU/Battleground,gwu_battleground,4/17/16,4/20/16,1000,LV,41,46,2016
Rasmussen Reports,rasmussen,5/10/16,5/14/16,2500,LV,38,38,2016
ABC News/Wash Post,abc_wapo,5/16/16,5/19/16,829,RV,45,45,2016
NBC News/Wall St. Jrnl,nbc_wsj,5/15/16,5/19/16,1000,RV,44,48,2016
Quinnipiac,quinnipiac,5/19/16,5/26/16,1711,RV,36,39,2016
NBC News/Wall St. Jrnl,nbc_wsj,6/19/16,6/23/16,1000,RV,46,46,2016
FOX News,fox_news,6/26/16,6/28/16,1017,RV,41,46,2016
Quinnipiac,quinnipiac,7/23/16,7/28/16,1644,RV,39,37,2016
PPP (D),ppp,7/29/16,7/30/16,1276,LV,44,47,2016
McClatchy/Marist,mcclatchy_marist,8/1/16,8/3/16,983,RV,41,49,2016
NBC News/Wall St. Jrnl,nbc_wsj,7/31/16,8/3/16,800,RV,43,47,2016
GWU/Battleground,gwu_battleground,8/28/16,9/1/16,1000,LV,43,45,2016
CNN/ORC,cnn_orc,9/1/16,9/4/16,786,LV,49,47,2016
Reuters/Ipsos,reuters_ipsos,9/1/16,9/5/16,1084,LV,39,40,2016
Economist/YouGov,economist_yougov,9/4/16,9/6/16,955,RV,38,41,2016
Reuters/Ipsos,reuters_ipsos,9/8/16,9/12/16,1752,Adults,38,40,2016
Economist/YouGov,economist_yougov,9/10/16,9/13/16,926,RV,38,44,2016
Economist/YouGov,economist_yougov,9/18/16,9/19/16,936,RV,36,43,2016
NBC News/Wall St. Jrnl,nbc_wsj,9/16/16,9/19/16,1000,RV,45,48,2016
Reuters/Ipsos,reuters_ipsos,9/15/16,9/19/16,1111,LV,40,39,2016
McClatchy/Marist,mcclatchy_marist,9/15/16,9/20/16,758,LV,45,49,2016
Bloomberg,bloomberg,9/21/16,9/24/16,1002,LV,44,46,2016
Economist/YouGov,economist_yougov,9/22/16,9/24/16,948,RV,38,43,2016
Reuters/Ipsos,reuters_ipsos,9/22/16,9/26/16,1041,LV,36,42,2016
FOX News,fox_news,9/27/16,9/29/16,911,LV,43,44,2016
Economist/YouGov,economist_yougov,10/1/16,10/3/16,911,RV,37,43,2016
Reuters/Ipsos,reuters_ipsos,9/29/16,10/3/16,1669,RV,38,42,2016
Economist/YouGov,economist_yougov,10/7/16,10/8/16,971,RV,39,42,2016
NBC News/Wall St. Jrnl,nbc_wsj,10/8/16,10/9/16,500,RV,42,49,2016
NBC News/Wall St. Jrnl,nbc_wsj,10/8/16,10/10/16,900,RV,42,48,2016
Reuters/Ipsos,reuters_ipsos,10/6/16,10/10/16,2363,Adults,36,46,2016
FOX News,fox_news,10/10/16,10/12/16,917,LV,42,48,2016
ABC News/Wash Post,abc_wapo,10/10/16,10/13/16,740,LV,44,47,2016
GWU/Battleground,gwu_battleground,10/8/16,10/13/16,1000,LV,42,47,2016
NBC News/Wall St. Jrnl,nbc_wsj,10/10/16,10/13/16,905,LV,44,47,2016
CBS News,cbs_nyt,10/12/16,10/16/16,1189,LV,45,50,2016
Bloomberg,bloomberg,10/14/16,10/17/16,1006,LV,43,47,2016
Reuters/Ipsos,reuters_ipsos,10/13/16,10/17/16,1190,LV,39,43,2016
Economist/YouGov,economist_yougov,10/15/16,10/18/16,925,RV,38,43,2016
CNN/ORC,cnn_orc,10/20/16,10/23/16,779,LV,47,50,2016
ABC News,abc_wapo,10/22/16,10/24/16,828,LV,46,47,2016
Associated Press-GfK,ap_gfk,10/20/16,10/24/16,1212,LV,41,46,2016
Reuters/Ipsos,reuters_ipsos,10/20/16,10/24/16,1170,LV,39,44,2016
FOX News,fox_news,10/22/16,10/25/16,1221,LV,45,47,2016
Economist/YouGov,economist_yougov,10/22/16,10/26/16,1209,LV,40,45,2016
NBC News/Wall St. Jrnl,nbc_wsj,10/25/16,10/29/16,847,RV,45,45,2016
CBS News/NY Times,cbs_nyt,10/28/16,11/1/16,1333,RV,46,49,2016
Economist/YouGov,economist_yougov,10/30/16,11/1/16,1228,LV,41,46,2016
Reuters/Ipsos,reuters_ipsos,10/29/16,11/2/16,1858,LV,41,42,2016
McClatchy/Marist,mcclatchy_marist,11/1/16,11/3/16,940,LV,47,48,2016
NBC News/Wall St. Jrnl,nbc_wsj,11/3/16,11/5/16,1282,LV,44,47,2016
Bloomberg,bloomberg,11/4/16,11/6/16,799,LV,48,45,2016
FOX News,fox_news,11/3/16,11/6/16,1295,LV,46,45,2016
Economist/YouGov,economist_yougov,11/4/16,11/7/16,3677,LV,42,45,2016